,station_id,name,old_name,type,oos,lat,lon
401,,,Fossil Ridge WD (Wind Direction),,,,
402,,,Fossil Ridge SPD (Wind Speed),,,,
403,,,Fossil Ridge DPT (Dewpoint),,,,
404,4014.0,Fossil Ridge,Fossil Ridge RAIN (Rain),HydroLynx 50388/A2,False,36.430806,-115.285611
405,,,Fossil Ridge RH (Rel. Humidity),,,,
406,,,Fossil Ridge TEMP (Air Temp),,,,
407,,,Floyd Lamb South EEA BATT (unknown type),,,,
408,,,Floyd Lamb South EEA WL (Water Level),,,,
409,4019.0,Floyd Lamb South EEA,Floyd Lamb South EEA RAIN (Rain),DAA H264,False,36.319083,-115.267139
410,,,Upper Las Vegas Wash DB BATT (unknown type),,,,
411,,,Upper Las Vegas Wash DB WL (Water Level),,,,
412,4024.0,Upper Las Vegas Wash DB,Upper Las Vegas Wash DB RAIN (Rain),DAA H264,False,36.325472,-115.211944
413,,,Kyle Canyon DB WL (Water Level),,,,
414,4029.0,Kyle Canyon DB,Kyle Canyon DB RAIN (Rain),Handar 585C,False,36.300389,-115.338333
415,,,North Valley 1 WD (Wind Direction),,,,
416,,,North Valley 1 SPD (Wind Speed),,,,
417,,,North Valley 1 DPT (Dewpoint),,,,
418,4034.0,North Valley 1,North Valley 1 RAIN (Rain),Handar 585D,False,36.343167,-115.166667
419,,,North Valley 1 RH (Rel. Humidity),,,,
420,,,North Valley 1 TEMP (Air Temp),,,,
421,4039.0,North Valley 2,North Valley 2 RAIN (Rain),Handar 585A,False,36.356417,-115.136583
422,4044.0,Castle Rock,Castle Rock RAIN (Rain),Handar 585A,False,36.357225,-115.241492
423,,,Floyd Lamb City Park BATT (unknown type),,,,
424,4049.0,Floyd Lamb City Park (Tule Springs),Floyd Lamb City Park RAIN (Rain),HydroLynx 5096/A2,False,36.317833,-115.269222
425,4054.0,Lone Mtn at Hualapai,Lone Mtn at Hualapai RAIN (Rain),Handar 585A,False,36.251556,-115.333611
426,,,Gowan Outfall Channel BATT (unknown type),,,,
427,,,Gowan Outfall Channel WL (Water Level),,,,
428,4059.0,Gowan Outfall Channel,Gowan Outfall Channel RAIN (Rain),DAA H264,False,36.243139,-115.159806
429,,,Lower Las Vegas Wash DB BATT (unknown type),,,,
430,,,Lower Las Vegas Wash DB WL (Water Level),,,,
431,4064.0,Lower Las Vegas Wash DB,Lower Las Vegas Wash DB RAIN (Rain),DAA H264,False,36.255,-115.16
432,,,Las Vegas Wash at Craig Rd WL (Water Level),,,,
433,4069.0,Las Vegas Wash at Craig Rd,Las Vegas Wash at Craig Rd RAIN (Rain),Handar 585C,False,36.242583,-115.112333
434,,,Las Vegas Wash at Lake Mead BATT (unknown type),,,,
435,,,Las Vegas Wash at Lake Mead WL (Water Level),,,,
436,4074.0,Las Vegas Wash at Lake Mead,Las Vegas Wash at Lake Mead RAIN (Rain),DAA H264,False,36.195833,-115.098611
437,,,Western Tributary of Las Vegas Wash WL (Water Level),,,,
438,4079.0,Western Tributary of Las Vegas Wash,Western Tributary of Las Vegas Wash RAIN (Rain),Handar 585C,False,36.2572,-115.172444
439,,,Las Vegas Wash above Flamingo Wash confluence BATT (unknown type),,,,
440,,,Las Vegas Wash above Flamingo Wash confluence WL (Water Level),,,,
441,4084.0,Las Vegas Wash above Flamingo Wash confluence,Las Vegas Wash above Flamingo Wash confluence RAIN (Rain),DAA H264,False,36.142111,-115.053722
442,,,Las Vegas Wash below Vegas Valley Dr. (USGS) WL (Lower Orifice) (Water Level),,,,
443,,,Las Vegas Wash below Vegas Valley Dr. (USGS) WL (Upper Orifice) (Water Level),,,,
444,4089.0,Las Vegas Wash below Vegas Valley Dr. (USGS),Las Vegas Wash below Vegas Valley Dr. (USGS) RAIN (Rain),USGS Waterdata,False,36.131861,-115.035769
445,4094.0,Las Vegas Wash at 3-Kids,Las Vegas Wash at 3-Kids Wash RAIN (Rain),Handar 585A,False,36.098944,-114.943583
446,,,Rainbow Garden Weir BATT (unknown type),,,,
447,,,Rainbow Garden Weir WL (Water Level),,,,
448,4099.0,Rainbow Garden Weir,Rainbow Garden Weir RAIN (Rain),DAA H264,False,36.1,-114.943028
449,,,Nellis AFB North WD (Wind Direction),,,,
450,,,Nellis AFB North SPD (Wind Speed),,,,
451,,,Nellis AFB North DPT (Dewpoint),,,,
452,4104.0,Nellis AFB North,Nellis AFB North RAIN (Rain),Handar 585D,False,36.253528,-115.031069
453,,,Nellis AFB North RH (Rel. Humidity),,,,
454,,,Nellis AFB North TEMP (Air Temp),,,,
455,,,Nellis AFB South BATT (unknown type),,,,
456,4109.0,Nellis AFB South,Nellis AFB South RAIN (Rain),HydroLynx 5096/A2,False,36.224481,-115.024322
457,,,Sloan Channel at Las Vegas Blvd WL (Water Level),,,,
458,4114.0,Sloan Channel at Las Vegas Blvd,Sloan Channel at Las Vegas Blvd RAIN (Rain),Handar 585A,False,36.228717,-115.074286
459,,,Vandenberg DB WL (Water Level),,,,
460,4119.0,Vandenberg DB,Vandenberg DB RAIN (Rain),Handar 585A,False,36.252639,-115.087944
461,4124.0,West Range Wash 1,West Range Wash 1 RAIN (Rain),Handar 585A,False,36.325694,-115.030167
462,4134.0,West Range Wash 2,West Range Wash 2 RAIN (Rain),Handar 585A,False,36.335,-115.079139
463,4139.0,Speedway #2 DB (4139),Apex WD (Wind Direction),Amazon/50388 A2,False,36.290053,-115.0246
464,,,Apex PK WND (Peak Wind),,,,
465,,,Apex SPD (Wind Speed),,,,
466,,,Apex DPT (Dewpoint),,,,
467,,,Apex BATT (unknown type),,,,
468,4144.0,Apex at I-15,Apex RAIN (Rain),HydroLynx 5096/A2,False,36.336667,-114.918333
469,,,Apex RH (Rel. Humidity),,,,
470,,,Apex TEMP (Air Temp),,,,
471,,,Confluence DB WL (Water Level),,,,
472,4154.0,Confluence DB,Confluence DB RAIN (Rain),Handar 585A,False,36.211167,-115.042889
473,,,Sloan Channel at Charleston (USGS) Radar WL (Water Level),,,,
474,,,Sloan Channel at Charleston (USGS) Bubbler WL (Water Level),,,,
475,4174.0,Sloan Channel at Charleston (USGS),Sloan Channel at Charleston (USGS) RAIN (Rain),USGS Waterdata,False,36.159564,-115.044542
476,,,Sunrise Landfill 2 WD (Wind Direction),,,,
477,,,Orchard DB BATT (unknown type),,,,
478,,,Orchard DB WL (Water Level),,,,
479,4179.0,Orchard DB,Orchard DB RAIN (Rain),DAA H264,False,36.1525,-115.019167
480,,,Sunrise Landfill 2 PK WND (Peak Wind),,,,
481,,,Sunrise Landfill 2 SPD (Wind Speed),,,,
482,,,Sunrise Landfill 2 DPT (Dewpoint),,,,
483,,,Sunrise Landfill 2 BATT (unknown type),,,,
484,4184.0,Sunrise Landfill 2,Sunrise Landfill 2 RAIN (Rain),HydroLynx 50388/A2,False,36.140889,-115.003583
485,,,Sunrise Landfill 2 RH (Rel. Humidity),,,,
486,,,Sunrise Landfill 2 TEMP (Air Temp),,,,
487,,,Sunrise Landfill 1 BATT (unknown type),,,,
488,4189.0,Sunrise Landfill 1,Sunrise Landfill 1 RAIN (Rain),HydroLynx 5096/A2,False,36.144417,-114.993222
489,,,Sloan Channel below Sahara BATT (unknown type),,,,
490,,,Summerlin West WD (Wind Direction),,,,
491,,,Sloan Channel below Sahara WL (Water Level),,,,
492,4199.0,Sloan Channel below Sahara,Sloan Channel below Sahara RAIN (Rain),DAA H264,False,36.143194,-115.042833
493,,,Summerlin West PK WND (Peak Wind),,,,
494,4201.0,Grand Park DB (4201),Summerlin West SPD (Wind Speed),Amazon/50388 A2,False,36.193917,-115.358972
495,,,Summerlin West DPT (Dewpoint),,,,
496,4203.0,Summerlin DB (DB 5) (4203),Summerlin West BATT (unknown type),Amazon/50388 A2,False,36.173353,-115.373131
497,4204.0,Summerlin West,Summerlin West RAIN (Rain),HydroLynx 5096/A2,False,36.182611,-115.357861
498,,,Summerlin West RH (Rel. Humidity),,,,
499,,,Summerlin West TEMP (Air Temp),,,,
500,4207.0,WOTUS 5 Channel (4207),Summerlin NW BATT (unknown type),HydroLynx 5096/A2,False,36.205561,-115.396702
501,4209.0,Summerlin NW,Summerlin NW RAIN (Rain),HydroLynx 5096/A2,False,36.206472,-115.371489
502,,,Summerlin Pkwy BATT (unknown type),,,,
503,4214.0,Summerlin Pkwy,Summerlin Pkwy RAIN (Rain),HydroLynx 5096/A2,False,36.179056,-115.294306
504,,,Angel Park DB WL (Water Level),,,,
505,4219.0,Angel Park DB,Angel Park DB RAIN (Rain),Handar 585A,False,36.187,-115.281417
506,,,Angel Park West WD (Wind Direction),,,,
507,,,Angel Park West SPD (Wind Speed),,,,
508,,,Angel Park West DPT (Dewpoint),,,,
509,4224.0,Angel Park West,Angel Park West RAIN (Rain),Handar 585D,False,36.171778,-115.309167
510,,,Angel Park West RH (Rel. Humidity),,,,
511,,,Angel Park West TEMP (Air Temp),,,,
512,,,Charleston at Rampart BATT (unknown type),,,,
513,4229.0,Charleston at Rampart,Charleston at Rampart RAIN (Rain),HydroLynx 5096/A2,False,36.161028,-115.292417
514,,,Smoke Ranch at Buffalo BATT (unknown type),,,,
515,4234.0,Smoke Ranch at Buffalo,Smoke Ranch at Buffalo RAIN (Rain),HydroLynx 5096/A2,False,36.202528,-115.261333
516,,,Carey/Lake Mead DB BATT (unknown type),,,,
517,,,Carey/Lake Mead DB WL (Water Level),,,,
518,4239.0,Carey/Lake Mead DB,Carey/Lake Mead DB RAIN (Rain),Campbell Scientific AL200/A2,False,36.198111,-115.180694
519,,,Oakey at Rainbow BATT (unknown type),,,,
520,4244.0,Oakey at Rainbow,Oakey at Rainbow RAIN (Rain),HydroLynx 5096/A2,False,36.154722,-115.244444
521,,,Oakey DB WL (Water Level),,,,
522,4249.0,Oakey DB,Oakey DB RAIN (Rain),Handar 585A,False,36.151092,-115.234833
523,,,Lower Gowan North DB WL (Water Level),,,,
524,4254.0,Lower Gowan North DB,Lower Gowan North DB RAIN (Rain),Handar 585C,False,36.225306,-115.25325
525,,,Gowan South DB BATT (unknown type),,,,
526,,,Gowan South DB WL (Water Level),,,,
527,4259.0,Gowan South DB,Gowan South DB RAIN (Rain),DAA H264,False,36.216942,-115.252225
528,,,Beltway at Lone Mtn DB WL (Water Level),,,,
529,4264.0,Beltway at Lone Mountain DB,Beltway at Lone Mtn DB RAIN (Rain),Handar 585A,False,36.247583,-115.319389
530,,,Lone Mountain DB WL (Water Level),,,,
531,4269.0,Lone Mountain DB,Lone Mountain DB RAIN (Rain),Handar 585A,False,36.232267,-115.309447
532,,,Downtown Las Vegas WD (Wind Direction),,,,
533,,,Downtown Las Vegas SPD (Wind Speed),,,,
534,,,Downtown Las Vegas DPT (Dewpoint),,,,
535,4274.0,Downtown Las Vegas,Downtown Las Vegas RAIN (Rain),Handar 585D,False,36.165733,-115.145403
536,,,Downtown Las Vegas RH (Rel. Humidity),,,,
537,,,Downtown Las Vegas TEMP (Air Temp),,,,
538,,,Gowan North Channel WL (Water Level),,,,
539,4279.0,Gowan North Channel,Gowan North Channel RAIN (Rain),Handar 585C,False,36.232722,-115.275333
540,,,Las Vegas Wash at Lamb BATT (unknown type),,,,
541,,,Las Vegas Wash at Lamb WL (Water Level),,,,
542,4284.0,Las Vegas Wash at Lamb,Las Vegas Wash at Lamb RAIN (Rain),DAA H264,False,36.183056,-115.077778
543,,,Freeway Channel near Charleston WL (Water Level),,,,
544,4289.0,Freeway Channel near Charleston,Freeway Channel near Charleston RAIN (Rain),Amazon/50388 A2,False,36.155764,-115.162594
545,,,Meadows DB BATT (unknown type),,,,
546,,,Meadows DB WL (Water Level),,,,
547,4294.0,Meadows DB,Meadows DB RAIN (Rain),DAA H264,False,36.172917,-115.183667
548,,,Rainbow Curve DB BATT (unknown type),,,,
549,,,Rainbow Curve DB WL (Water Level),,,,
550,4299.0,Rainbow Curve DB,Rainbow Curve DB RAIN (Rain),DAA H264,False,36.173889,-115.2425
551,,,Blue Diamond Ridge South WD (Wind Direction),,,,
552,,,Blue Diamond Ridge South SPD (Wind Speed),,,,
553,,,Blue Diamond Ridge South DPT (Dewpoint),,,,
554,,,Blue Diamond Ridge South BATT (unknown type),,,,
555,4304.0,Blue Diamond Ridge South,Blue Diamond Ridge South RAIN (Rain),HydroLynx 5096/A2,False,36.083764,-115.38575
556,,,Blue Diamond Ridge South RH (Rel. Humidity),,,,
557,,,Blue Diamond Ridge South TEMP (Air Temp),,,,
558,,,Blue Diamond Ridge South PK WND (Peak Wind),,,,
559,,,Desert Inn DB WL (Water Level),,,,
560,4309.0,Desert Inn DB,Desert Inn DB RAIN (Rain),Handar 585A,False,36.12975,-115.24225
561,4314.0,Blue Diamond Ridge North,Blue Diamond Ridge North RAIN (Rain),Handar 585A,False,36.107511,-115.397828
562,,,Beltway Channel at Town Center WL (Water Level),,,,
563,4319.0,Beltway Channel at Town Center,Beltway Channel at Town Center RAIN (Rain),Handar 585C,False,36.119889,-115.324222
564,,,Red Rock Canyon BATT (unknown type),,,,
565,4324.0,Red Rock Canyon,Red Rock Canyon RAIN (Rain),HydroLynx 5096/A2,False,36.1305,-115.428
566,,,Brownstone Canyon BATT (unknown type),,,,
567,4329.0,Brownstone Canyon,Brownstone Canyon RAIN (Rain),HydroLynx 5096/A2,False,36.180639,-115.417583
568,4334.0,Upper Flamingo 1,Upper Flamingo 1 RAIN (Rain),Handar 585A,False,36.058,-115.322361
569,,,Beltway Channel at Peace Way WL (Water Level),,,,
570,4339.0,Beltway Channel at Peace Way,Beltway Channel at Peace Way RAIN (Rain),Handar 585C,False,36.107028,-115.296778
571,,,Red Rock DB Outlet WL (Water Level),,,,
572,,,Red Rock DB Basin WL (Water Level),,,,
573,4344.0,Red Rock DB,Red Rock DB RAIN (Rain),Handar 585A,False,36.152586,-115.354658
574,,,Upper Flamingo DB WL (Water Level),,,,
575,4349.0,Upper Flamingo DB,Upper Flamingo DB RAIN (Rain),Handar 585A,False,36.090111,-115.270611
576,,,The Lakes WD (Wind Direction),,,,
577,,,The Lakes SPD (Wind Speed),,,,
578,,,The Lakes DPT (Dewpoint),,,,
579,4354.0,The Lakes,The Lakes RAIN (Rain),Handar 585D,False,36.124444,-115.285444
580,,,The Lakes RH (Rel. Humidity),,,,
581,,,The Lakes TEMP (Air Temp),,,,
582,,,The Lakes DB WL (Water Level),,,,
583,4359.0,The Lakes DB,The Lakes DB RAIN (Rain),Handar 585C,False,36.127833,-115.278417
584,,,Flamingo Wash at Torrey Pines Dr. WL (Water Level),,,,
585,4364.0,Flamingo Wash at Torrey Pines Dr.,Flamingo Wash at Torrey Pines Dr. RAIN (Rain),Handar 585C,False,36.102719,-115.234144
586,,,Lower Flamingo DB BATT (unknown type),,,,
587,,,Lower Flamingo DB WL (Water Level),,,,
588,4369.0,Lower Flamingo DB,Lower Flamingo DB RAIN (Rain),DAA H264,False,36.102583,-115.208583
589,,,Flamingo Wash at Eastern BATT (unknown type),,,,
590,,,Flamingo Wash at Eastern Ave. WL (Water Level),,,,
591,4374.0,Flamingo Wash at Eastern Ave.,Flamingo Wash at Eastern Ave. RAIN (Rain),DAA H264,False,36.12295,-115.119014
592,,,Van Buskirk DB WL (Water Level),,,,
593,4379.0,Van Buskirk DB,Van Buskirk DB RAIN (Rain),Handar 585A,False,36.108356,-115.111364
594,,,DI Super Arterial Pump Site BATT (unknown type),,,,
595,,,DI Super Arterial (CCPW) WL (Water Level),,,,
596,4384.0,DI Super Arterial,DI Super Arterial RAIN (Rain),HydroLynx 5096/A2,False,36.130694,-115.164472
597,,,DI Super Arterial (unknown type),,,,
598,,,Rio (Twain) Pump Site RAIN (Rain),,,,
599,,,Rio (Twain) Pump Site BATT (unknown type),,,,
600,,,Rio (Twain) Pump Site WL (Water Level),,,,
601,4389.0,Rio (Twain) Pump Site,Rio (Twain) Pump Site RAIN (Old) (Rain),HydroLynx 5096/A2,False,36.119333,-115.181778
602,,,Rio pump site (unknown type),,,,
603,,,Flamingo Wash East of Nellis BATT (unknown type),,,,
604,,,Flamingo Wash at Nellis Blvd (USGS) Radar WL Old ID (Water Level),,,,
605,,,Flamingo Wash at Nellis Blvd (USGS) Radar WL (Water Level),,,,
606,4394.0,Flamingo Wash at Nellis Blvd (USGS),Flamingo Wash at Nellis Blvd (USGS) RAIN (Rain),USGS Waterdata,False,36.142378,-115.065856
607,4395.0,Flamingo Wash East of Nellis,Flamingo Wash East of Nellis WL (Water Level),DAA H264,False,36.141583,-115.053944
608,,,Flamingo Wash at Nellis Blvd (USGS) Bubbler WL (Water Level),,,,
609,,,Flamingo Wash at Mojave WL (Water Level),,,,
610,4399.0,Flamingo Wash at Mojave,Flamingo Wash at Mojave RAIN (Rain),HydroLynx 5096/A2,False,36.133167,-115.103194
611,,,F-1 Debris Basin BATT (unknown type),,,,
612,,,F-1 Debris Basin WL (Water Level),,,,
613,4404.0,F-1 Debris Basin,F-1 Debris Basin RAIN (Rain),DAA H264,False,36.097194,-115.338861
614,,,F-2 Debris Basin BATT (unknown type),,,,
615,,,F-2 Debris Basin WL (Water Level),,,,
616,4409.0,F-2 Debris Basin,F-2 Debris Basin RAIN (Rain),DAA H264,False,36.079917,-115.328778
617,,,Blue Diamond DB WL (Water Level),,,,
618,4414.0,Blue Diamond DB,Blue Diamond DB RAIN (Rain),Handar 585A,False,36.031861,-115.316694
619,,,F-4 Debris Basin BATT (unknown type),,,,
620,,,F-4 Debris Basin WL (Water Level),,,,
621,4419.0,F-4 Debris Basin,F-4 Debris Basin RAIN (Rain),DAA H264,False,36.044722,-115.299722
622,,,F-1 Channel WL (Water Level),,,,
623,4424.0,F-1 Channel,F-1 Channel RAIN (Rain),Handar 585C,False,36.087139,-115.305306
624,,,Naples Channel WL (Water Level),,,,
625,4429.0,Naples Channel,Naples Channel RAIN (Rain),Handar 585C,False,36.105639,-115.304028
626,,,Beltway Channel at Buffalo WL (Water Level),,,,
627,4434.0,Beltway Channel at Buffalo,Beltway Channel at Buffalo RAIN (Rain),Handar 585C,False,36.065917,-115.254028
628,,,Blue Diamond Channel BATT (unknown type),,,,
629,,,Blue Diamond Channel WL (Water Level),,,,
630,4439.0,Blue Diamond Channel,Blue Diamond Channel RAIN (Rain),DAA H264,False,36.035,-115.281389
631,,,R-4 DB BATT (unknown type),,,,
632,,,R-4 DB WL (Water Level),,,,
633,4444.0,R-4 DB,R-4 DB RAIN (Rain),DAA H264,False,36.112722,-115.353583
634,,,R-4 Channel WL (Water Level),,,,
635,4449.0,R-4 Channel,R-4 Channel RAIN (Rain),Handar 585C,False,36.1205,-115.331667
636,,,Warm Springs at Jones BATT (unknown type),,,,
637,4454.0,Warm Springs at Jones,Warm Springs at Jones RAIN (Rain),HydroLynx 5096/A2,False,36.057028,-115.223333
638,,,Lower Blue Diamond DB BATT (unknown type),,,,
639,,,Lower Blue Diamond DB WL (Water Level),,,,
640,4459.0,Lower Blue Diamond DB,Lower Blue Diamond DB RAIN (Rain),DAA H264,False,36.046667,-115.212222
641,,,Hualapai at Maule (F-3) DB BATT (unknown type),,,,
642,,,Hualapai at Maule (F-3) DB WL (Water Level),,,,
643,4464.0,Hualapai at Maule (F-3) DB,Hualapai at Maule (F-3) DB RAIN (Rain),DAA H264,False,36.062222,-115.316806
644,,,Tropicana DB South Bay WL (Water Level),,,,
645,,,Tropicana DB North Bay WL (Water Level),,,,
646,4474.0,Tropicana DB,Tropicana DB RAIN (Rain),Handar 585A,False,36.081444,-115.199444
647,,,Tropicana North Branch DB BATT (unknown type),,,,
648,,,Tropicana North Branch DB WL (Water Level),,,,
649,4479.0,Tropicana North Branch DB,Tropicana North Branch DB RAIN (Rain),DAA H264,False,36.096111,-115.195556
650,,,Tropicana Wash at University Center Drive BATT (unknown type),,,,
651,,,Tropicana Wash at University Center Drive WL (Water Level),,,,
652,4484.0,Tropicana Wash at University Center Drive,Tropicana Wash at University Center Drive RAIN (Rain),DAA H264,False,36.113647,-115.146992
653,,,Beltway Channel at Cheyenne WL (Water Level),,,,
654,4504.0,Beltway Channel at Cheyenne,Beltway Channel at Cheyenne RAIN (Rain),Handar 585A,False,36.225833,-115.326083
655,,,Fort Apache DB WL (Water Level),,,,
656,4509.0,Fort Apache DB,Fort Apache DB RAIN (Rain),Handar 585A,False,36.281028,-115.297444
657,,,CAM-10 DB BATT (unknown type),,,,
658,,,CAM-10 DB WL (Water Level),,,,
659,4514.0,CAM-10 DB,CAM-10 DB RAIN (Rain),DAA H264,False,36.2695,-115.340028
660,,,Rancho DB BATT (unknown type),,,,
661,,,Rancho DB WL (Water Level),,,,
662,4519.0,Rancho DB,Rancho DB RAIN (Rain),DAA H264,False,36.268056,-115.261111
663,,,Cheyenne PB BATT (unknown type),,,,
664,,,Cheyenne PB WL (Water Level),,,,
665,4524.0,Cheyenne PB,Cheyenne PB RAIN (Rain),DAA H264,False,36.219778,-115.112778
666,,,Las Vegas Wash at LV Blvd BATT (unknown type),,,,
667,,,Las Vegas Wash at LV Blvd WL (Water Level),,,,
668,4529.0,Las Vegas Wash at LV Blvd,Las Vegas Wash at LV Blvd RAIN (Rain),DAA H264,False,36.210306,-115.105417
669,,,Upper Las Vegas Wash 1 WL (Water Level),,,,
670,4534.0,Upper Las Vegas Wash 1,Upper Las Vegas Wash 1 RAIN (Rain),Handar 585A,False,36.2583,-115.11914
671,,,Beltway Channel at Aliante BATT (unknown type),,,,
672,,,Beltway Channel at Aliante WL (Water Level),,,,
673,4539.0,Beltway Channel at Aliante,Beltway Channel at Aliante RAIN (Rain),Handar 585A,False,36.286722,-115.185028
674,,,Las Vegas Wash at Pabco Rd BATT (unknown type),,,,
675,,,Las Vegas Wash at Pabco Rd (Bubbler) (Water Level),,,,
676,,,Las Vegas Wash at Pabco Rd (Float) (Water Level),,,,
677,4544.0,Las Vegas Wash at Pabco Rd,Las Vegas Wash at Pabco Rd RAIN (Rain),DAA H264,False,36.087083,-114.985833
678,,,NE C-1 DB BATT (unknown type),,,,
679,,,NE C-1 DB WL (Water Level),,,,
680,4549.0,NE C-1 DB,NE C-1 DB RAIN (Rain),DAA H264,False,36.055556,-114.936667
681,,,Lower C-1 Channel (USGS) WL (Water Level),,,,
682,4554.0,Lower C-1 Channel (USGS),Lower C-1 Channel (USGS) RAIN (Rain),USGS Waterdata,False,36.083272,-114.964078
683,,,Beltway Channel at Tenaya BATT (unknown type),,,,
684,,,Beltway Channel at Tenaya WL (Water Level),,,,
685,4559.0,Beltway Channel at Tenaya,Beltway Channel at Tenaya RAIN (Rain),DAA H264,False,36.276389,-115.249167
686,,,Pittman Railroad Channel WL (Water Level),,,,
687,4564.0,Pittman Railroad Channel,Pittman Railroad Channel RAIN (Rain),Handar 585A,False,36.02825,-115.003639
688,,,Beltway Channel W. of Revere BATT (unknown type),,,,
689,,,Beltway Channel W. of Revere WL (Water Level),,,,
690,4569.0,Beltway Channel W. of Revere,Beltway Channel W. of Revere RAIN (Rain),DAA H264,False,36.293556,-115.15975
691,,,Flamingo Wash at Spencer WL (Water Level),,,,
692,4574.0,Flamingo Wash at Spencer,Flamingo Wash at Spencer RAIN (Rain),Handar 585C,False,36.119583,-115.128917
693,,,Skye Canyon 1 DB BATT (unknown type),,,,
694,,,Skye Canyon 1 DB WL (Water Level),,,,
695,4579.0,Skye Canyon 1 DB,Skye Canyon 1 DB RAIN (Rain),Amazon/50388 A2,False,36.311292,-115.331578
696,,,Las Vegas Wash at The Club at Sunrise Radar (USGS) WL (Water Level),,,,
697,4599.0,Las Vegas Wash at The Club at Sunrise (USGS),Las Vegas Wash at The Club at Sunrise (USGS) RAIN (Rain),USGS Waterdata,False,36.139789,-115.048989
698,,,Cactus near Durango BATT (unknown type),,,,
699,4609.0,Cactus near Durango,Cactus near Durango RAIN (Rain),HydroLynx 5096/A2,False,35.997778,-115.285556
700,,,Arden BATT (unknown type),,,,
701,4614.0,Arden (No longer in service),Arden RAIN (old) (Rain),HydroLynx 5096/A2,True,36.013317,-115.237358
702,,,Lower Duck Creek DB WL (Water Level),,,,
703,4619.0,Lower Duck Creek DB,Lower Duck Creek DB RAIN (Rain),Handar 585A,False,36.021111,-115.155222
704,,,Duck Creek at Paradise WL (Water Level),,,,
705,4624.0,Duck Creek at Paradise,Duck Creek at Paradise RAIN (Rain),Handar 585C,False,36.045222,-115.138917
706,,,Duck Creek at JoRae BATT (unknown type),,,,
707,,,Duck Creek at JoRae WL (Water Level),,,,
708,4629.0,Duck Creek at JoRae,Duck Creek at JoRae RAIN (Rain),DAA H264,False,36.009722,-115.169444
709,,,Duck Creek at Eastern WL (Water Level),,,,
710,4634.0,Duck Creek at Eastern,Duck Creek at Eastern RAIN (Rain),Handar 585C,False,36.055017,-115.118094
711,,,Upper Duck Creek DB BATT (unknown type),,,,
712,,,Upper Duck Creek DB WL (Water Level),,,,
713,4639.0,Upper Duck Creek DB,Upper Duck Creek DB RAIN (Rain),DAA H264,False,36.009675,-115.315353
714,,,NWS Offices WD (Wind Direction),,,,
715,,,NWS Offices SPD (Wind Speed),,,,
716,,,NWS Offices DPT (Dewpoint),,,,
717,4644.0,NWS Offices,NWS Offices RAIN (Rain),Handar 585D,False,36.046861,-115.184528
718,,,NWS Offices RH (Rel. Humidity),,,,
719,,,NWS Offices TEMP (Air Temp),,,,
720,,,Duck Creek Railroad DB BATT (unknown type),,,,
721,,,Duck Creek Railroad DB WL (Water Level),,,,
722,4649.0,Duck Creek Railroad DB,Duck Creek Railroad DB RAIN (Rain),DAA H264,False,36.0075,-115.237778
723,,,Tortoise Center WD (Wind Direction),,,,
724,4651.0,Silverado Ranch DB (4651),Tortoise Center SPD (Wind Speed),Amazon/50388 A2,False,36.012342,-115.199756
725,,,Tortoise Center DPT (Dewpoint),,,,
726,4654.0,Desert Tortoise Center,Tortoise Center RAIN (Rain),Handar 585D,False,35.975194,-115.251528
727,,,Tortoise Center RH (Rel. Humidity),,,,
728,,,Tortoise Center TEMP (Air Temp),,,,
729,,,Duck Creek above Sunset BATT (unknown type),,,,
730,,,Duck Creek above Sunset WL (Water Level),,,,
731,4659.0,Duck Creek above Sunset,Duck Creek above Sunset RAIN (Rain),DAA H264,False,36.068889,-115.087056
732,,,Central Duck Creek DB BATT (unknown type),,,,
733,,,Central Duck Creek DB WL (Water Level),,,,
734,4669.0,Central Duck Creek DB,Central Duck Creek DB RAIN (Rain),DAA H264,False,35.981917,-115.214556
735,,,Duck Creek near Tomiyasu WL (Water Level),,,,
736,4674.0,Duck Creek near Tomiyasu,Duck Creek near Tomiyasu RAIN (Rain),HydroLynx 5096/A2,False,36.060667,-115.106861
737,,,Duck Creek above Mountain Vista BATT (unknown type),,,,
738,,,Duck Creek above Mountain Vista WL (Water Level),,,,
739,4684.0,Duck Creek above Mountain Vista,Duck Creek above Mountain Vista RAIN (Rain),Amazon/50388 A2,False,36.083722,-115.075361
740,,,Duck Creek at Broadbent WL (Water Level),,,,
741,4694.0,Duck Creek at Broadbent,Duck Creek at Broadbent RAIN (Rain),Handar 585A,False,36.091667,-115.02525
742,,,Sloan at I-15 WD (Wind Direction),,,,
743,4701.0,Fire Station 97 (4701),Sloan at I-15 SPD (Wind Speed),HydroLynx 5096/A2,False,36.015311,-115.053192
744,4702.0,Fire Station 98 (4702),Sloan at I-15 DPT (Dewpoint),HydroLynx 5096/A2,False,35.9995,-115.111028
745,4704.0,Sloan at I-15,Sloan at I-15 RAIN (Rain),Handar 585D,False,35.927561,-115.194228
746,,,Sloan at I-15 RH (Rel. Humidity),,,,
747,,,Sloan at I-15 TEMP (Air Temp),,,,
748,,,Headworks DB BATT (unknown type),,,,
749,,,Headworks DB WL (Water Level),,,,
750,4709.0,Headworks DB,Headworks DB RAIN (Rain),DAA H264,False,35.925,-115.117
751,,,Pittman Pecos BATT (unknown type),,,,
752,,,Pittman Pecos WL (Water Level),,,,
